name,donor,organ,organ_context,roi,resolution_um,beamline,nx,ny,nz,contrast_low,contrast_high,size_gb_uncompressed
LADAF-2021-17_heart_ROI-02_6.36um_bm18,LADAF-2021-17,heart,,ROI-02,6.36,18,3741,3741,9416,32657,33067,263.555365392
LADAF-2021-17_heart_ROI-03_6.36um_bm18,LADAF-2021-17,heart,,ROI-03,6.36,18,3821,3821,8279,14865,29108,241.747478878
LADAF-2021-17_heart_ROI-04_6.36um_bm18,LADAF-2021-17,heart,,ROI-04,6.36,18,3821,3821,9376,9446,16995,273.779968832
LADAF-2021-17_heart_ROI-05_6.36um_bm18,LADAF-2021-17,heart,,ROI-05,6.36,18,3821,3821,9375,9263,13620,273.75076875
LADAF-2021-17_heart_ROI-06_6.36um_bm18,LADAF-2021-17,heart,,ROI-06,6.36,18,3821,3821,8279,13213,24767,241.747478878
LADAF-2021-17_heart_ROI-07_6.36um_bm18,LADAF-2021-17,heart,,ROI-07,6.36,18,3821,3821,10472,9260,14636,305.783258704
LADAF-2021-64_heart_complete-organ_19.89um_bm18,LADAF-2021-64,heart,,complete-organ,19.89,18,7646,7646,8234,4777,6781,962.740951888
LADAF-2021-64_heart_VOI-1.1_2.26um_bm18,LADAF-2021-64,heart,,VOI-1.1,2.26,18,3826,3826,8251,18638,41580,241.56083055200003
LADAF-2021-64_heart_VOI-1.2_2.26um_bm18,LADAF-2021-64,heart,,VOI-1.2,2.26,18,3828,3828,8252,27062,44851,241.84275033600002
LADAF-2021-64_heart_VOI-3.1_2.26um_bm18,LADAF-2021-64,heart,,VOI-3.1,2.26,18,3831,3831,6715,3361,8505,197.10621423
LADAF-2021-64_heart_VOI-4.1_2.26um_bm18,LADAF-2021-64,heart,,VOI-4.1,2.26,18,3822,3822,6697,5415,11927,195.655319496
LADAF-2021-64_heart_VOI-4.2_2.26um_bm18,LADAF-2021-64,heart,,VOI-4.2,2.26,18,3832,3832,6697,6561,14834,196.68049625600003
LADAF-2021-64_heart_VOI-5.1_2.26um_bm18,LADAF-2021-64,heart,,VOI-5.1,2.26,18,3836,3836,6698,16303,39160,197.120746816
LADAF-2021-64_heart_VOI-6.1_2.26um_bm18,LADAF-2021-64,heart,,VOI-6.1,2.26,18,3834,3834,6697,22175,37209,196.885853064
LADAF-2021-64_heart_VOI-7.1_2.26um_bm18,LADAF-2021-64,heart,,VOI-7.1,2.26,18,3835,3835,6696,25244,41968,196.95915720000002
LADAF-2021-64_heart_VOI-01_6.51um_bm18,LADAF-2021-64,heart,,VOI-01,6.51,18,3836,3836,5227,19721,41337,153.829522784
LADAF-2021-64_heart_VOI-02_6.51um_bm18,LADAF-2021-64,heart,,VOI-02,6.51,18,3836,3836,5227,2303,3680,153.829522784
LADAF-2021-64_heart_VOI-04_6.51um_bm18,LADAF-2021-64,heart,,VOI-04,6.51,18,3839,3839,6761,5148,10233,199.28616776200002
LADAF-2021-64_heart_VOI-05_6.51um_bm18,LADAF-2021-64,heart,,VOI-05,6.51,18,3839,3839,8295,19545,42582,244.50210939000002
LADAF-2021-64_heart_VOI-06_6.51um_bm18,LADAF-2021-64,heart,,VOI-06,6.51,18,3837,3837,9062,1960,4024,266.83184055600003
LADAF-2021-64_heart_VOI-07_6.51um_bm18,LADAF-2021-64,heart,,VOI-07,6.51,18,3837,3837,14425,4105,9311,424.74611565000004
